,Playing Time,Performance,Per 90 Minutes,Expected,Per 90 Minutes,
Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Joshua Kimmich,DF,23,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,1.3,1.4,0.05,0.43,0.48,0.05,0.48,Matches
Toni Kroos,MF,28,3,3,270,3.0,1,0,1,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.7,0.7,0.4,1.1,0.24,0.12,0.36,0.24,0.36,Matches
Manuel Neuer,GK,32,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Timo Werner,FW,22,3,3,265,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.5,0.26,0.26,0.53,0.26,0.53,Matches
Marco Reus,"MF,FW",29,3,2,211,2.3,1,1,1,0,0,0,0,0.43,0.43,0.85,0.43,0.85,0.3,0.3,0.1,0.4,0.15,0.03,0.17,0.15,0.17,Matches
Thomas Müller,FW,28,3,2,208,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.15,0.34,0.48,0.15,0.48,Matches
Mats Hummels,DF,29,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,1.0,0.52,0.00,0.52,0.52,0.52,Matches
Mesut Özil,MF,29,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.03,0.37,0.40,0.03,0.40,Matches
Jérôme Boateng,DF,29,2,2,171,1.9,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
Jonas Hector,DF,28,2,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.08,0.06,0.13,0.08,0.13,Matches
Julian Draxler,"FW,MF",24,2,2,135,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.7,0.36,0.10,0.46,0.36,0.46,Matches
Sami Khedira,MF,31,2,2,116,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.07,0.01,0.08,0.07,0.08,Matches
Antonio Rüdiger,DF,25,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Niklas Süle,DF,22,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches
Marvin Plattenhardt,DF,26,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
Leon Goretzka,FW,23,1,1,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.32,0.13,0.45,0.32,0.45,Matches
Sebastian Rudy,MF,28,1,1,30,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.09,0.00,0.09,0.09,0.09,Matches
Mario Gómez,FW,32,3,0,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,1.1,1.1,0.1,1.2,1.14,0.09,1.24,1.14,1.24,Matches
İlkay Gündoğan,"MF,DF",27,1,0,60,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.04,0.12,0.16,0.04,0.16,Matches
Julian Brandt,"DF,MF",22,3,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.22,0.00,1.22,1.22,1.22,Matches
Matthias Ginter,"DF,MF",24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marc-André ter Stegen,GK,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kevin Trapp,GK,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,27.2,3,33,270,3.0,2,2,2,0,0,3,1,0.67,0.67,1.33,0.67,1.33,5.9,5.9,4.6,10.5,1.98,1.54,3.52,1.98,3.52,
Opponent Total,,28.1,3,33,270,3.0,4,3,4,0,0,8,0,1.33,1.00,2.33,1.33,2.33,3.3,3.3,2.5,5.8,1.09,0.84,1.93,1.09,1.93,
